ranking,book_name,score,score_num,info
98,巨人的陨落,8.9,54737,[英] 肯·福莱特 / 于大卫 / 江苏凤凰文艺出版社 / 2016-5-1 / 129.80元
99,朝花夕拾,8.7,53957,鲁迅 / 人民文学出版社 / 1972年4月 / 0.25元
100,梦里花落知多少,8.8,54214,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元
101,半生缘,8.6,55325,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元
102,华胥引（全二册）,8.4,57982,唐七公子 / 现代出版社 / 2011-1 / 39.80元
103,这些都是你给我的爱,8.4,55377,文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元
104,陪安东尼度过漫长岁月,8.3,56355,安东尼 / 长江文艺出版社 / 2008-3 / 18.00
105,一只特立独行的猪,8.8,51786,王小波 / 北方文艺出版社 / 2006-4 / 18.80元
106,射雕英雄传（全四册）,8.9,49613,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元
107,一个人的朝圣,8.1,55438,【英】蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80
108,这些人，那些事,8.8,50810,吴念真 / 译林出版社 / 2011-9 / 28.00元
109,喜宝,8,56227,亦舒 / 新世界出版社 / 2007-2 / 22.00元
110,格林童话全集,9,48739,[德国]格林兄弟 / 魏以新 / 人民文学出版社 / 1994-11 / 21.45元
111,海底两万里,8.5,51839,[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元
112,杀死一只知更鸟,9.2,46046,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元
113,如何阅读一本书,8.4,51189,[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元
114,孩子你慢慢来,8.8,47336,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元
115,你今天真好看,8.7,47288,[美]莉兹•克里莫 / 周高逸 / 雅众文化/天津人民出版社 / 2015-8 / 39.00元
116,麦琪的礼物,8.6,45807,[美] 欧·亨利 / 张经浩 / 上海社会科学院出版社 / 2003-7 / 25.00元
117,地下铁,8.3,46887,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元
118,刀锋,9,42593,[英]毛姆 / 周煦良 / 上海译文出版社 / 2007-3 / 18.00元
119,查令十字街84号,8.3,46066,[美] 海莲·汉芙 / 陈建铭 / 译林出版社 / 2005-05-01 / 18.00元
120,流浪地球,8.6,45129,刘慈欣 / 湖北长江出版集团，长江文艺出版社 / 2008-11 / 28.00元
121,菊与刀,8.2,46879,（美）鲁思・本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00
122,步步惊心,8.1,46751,桐华 / 民族出版社 / 2006-6 / 25.00元
123,孤独六讲,8.1,46070,蒋勋 / 广西师范大学出版社 / 2009-10-1 / 36.00元
124,雷雨,8.6,42599,曹禺 / 人民文学出版社 / 1999-05 / 9.20
125,月亮忘記了,8.6,42209,幾米 / 格林 / 2000-2-1 / NT$ 299
126,球状闪电,8.7,41543,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元
127,此间的少年,8.4,43341,江南 / 华文出版社 / 2004-1 / 25.00元
128,尘埃落定,8.4,42579,阿来 / 人民文学出版社 / 1998-3-1 / 22.0
129,水浒传（全二册）,8.6,41478,[明] 施耐庵 / 人民文学出版社 / 1997-1 / 50.60元
130,西游记（全二册）,8.8,39666,吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元
131,那些回不去的年少时光,8.4,41543,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元
132,富爸爸，穷爸爸,8.2,42653,（美）罗伯特・T・清崎 / 杨君，杨明 / 世界图书出版公司 / 2000-09 / 18.80
133,悲惨世界（上中下）,8.9,38818,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元
134,金锁记,8.5,40950,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元
135,最好的我们,8.8,38920,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55
136,狂人日记,8.7,38946,鲁迅 / 京华出版社 / 2006-3 / 39.80元
137,飞鸟集,8.9,38741,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元
138,荆棘鸟,8.6,39631,[澳] 考琳·麦卡洛 / 曾胡 / 译林出版社 / 1998-7 / 28.00元
139,我与地坛,9,37536,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元
140,哭泣的骆驼,8.9,37822,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元
141,倚天屠龙记(共四册),8.6,38676,金庸 / 三联书店 / 1999-04 / 47.00
142,史蒂夫·乔布斯传,8.7,38460,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元
143,瓦尔登湖,8.4,39996,[美] 梭罗 / 徐迟 / 上海译文出版社 / 2006-8 / 11.00元
144,一個人住第5年,8.4,39529,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220
145,鹿鼎记（全五册）,8.8,37291,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元
146,海贼王,9.5,34083,尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元
147,呼兰河传,8.9,37132,萧红 / 百花文艺出版社 / 2005-01 / 19.00
148,寻路中国,9,36146,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元
149,时间简史,8.8,36394,[英] 史蒂芬·霍金 / 许明贤 / 湖南科学技术出版社 / 2010-4 / 45.00元
150,常识,8.1,40280,梁文道 / 广西师范大学出版社 / 2009-1 / 38.00
151,伊豆的舞女,8.2,39259,[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元
