movie_name,ranking,score,score_num
猜火车,190,8.5,305488
黑客帝国3：矩阵革命,191,8.7,223911
天书奇谭,192,9.1,89832
完美陌生人,193,8.5,331919
罗生门,194,8.8,174479
阿飞正传,195,8.5,293867
香水,196,8.5,360584
朗读者,197,8.5,332437
可可西里,198,8.7,170306
浪潮,199,8.7,172580
谍影重重2,200,8.6,217807
谍影重重,201,8.6,259598
牯岭街少年杀人事件,202,8.8,148372
战争之王,203,8.6,223778
地球上的星星,204,8.9,119867
疯狂的石头,205,8.4,448690
功夫,206,8.4,459477
惊魂记,207,8.9,119471
初恋这件小事,208,8.3,629479
青蛇,209,8.5,302069
头号玩家,210,8.7,816842
终结者2：审判日,211,8.6,197366
源代码,212,8.4,518584
步履不停,213,8.8,138280
爱在午夜降临前,214,8.8,165828
新龙门客栈,215,8.5,256327
小萝莉的猴神大叔,216,8.5,268506
一次别离,217,8.7,167462
追随,218,8.9,107785
奇迹男孩,219,8.6,319597
再次出发之纽约遇见你,220,8.5,243703
无耻混蛋,221,8.5,292378
撞车,222,8.6,218511
东京物语,223,9.2,72500
血钻,224,8.6,194752
彗星来的那一夜,225,8.5,273871
城市之光,226,9.3,64538
2001太空漫游,227,8.7,148220
梦之安魂曲,228,8.7,144152
绿里奇迹,229,8.7,144251
釜山行,230,8.4,554375
疯狂的麦克斯4：狂暴之路,231,8.6,293804
聚焦,232,8.8,171739
新世界,233,8.7,146563
E.T. 外星人,234,8.5,210009
这个男人来自地球,235,8.5,243871
末路狂花,236,8.7,137358
黑鹰坠落,237,8.6,168294
发条橙,238,8.5,236841
变脸,239,8.4,271346
遗愿清单,240,8.6,189486
勇闯夺命岛,241,8.6,181282
国王的演讲,242,8.4,433931
黄金三镖客,243,9.1,70673
我爱你,244,9.0,84040
千钧一发,245,8.7,130110
非常嫌疑犯,246,8.6,162312
秒速5厘米,247,8.3,409944
卡萨布兰卡,248,8.6,159711
驴得水,249,8.3,498198
四个春天,250,8.9,86363
